time,open,high,low,close,Bullish Entry,Bearish Entry,CVD
1770881940,6982.25,6982.75,6982,6982.25,0,0,2747
1770882000,6982,6982.25,6981.25,6981.5,0,0,2657
1770882060,6981.5,6982.25,6981.5,6982,0,0,2743
1770882120,6982.25,6982.75,6981.75,6982,0,0,2488
1770882180,6981.75,6982.25,6981.5,6981.5,0,0,2316
1770882240,6981.25,6981.25,6980.5,6980.75,0,0,2197
1770882300,6980.75,6981.5,6980.5,6980.5,0,0,2130
1770882360,6980.5,6980.75,6980,6980,0,0,1997
1770882420,6980,6980.5,6979.5,6980.25,0,0,2059
1770882480,6980.25,6980.5,6980.25,6980.25,0,0,2107
1770882540,6980.25,6981.5,6980,6981.5,0,0,2252
1770882600,6981.5,6981.5,6980.75,6981,0,0,2174
1770882660,6981,6981,6980.75,6981,0,0,2070
1770882720,6980.75,6981,6980.25,6980.25,0,0,1990
1770882780,6980,6980.25,6980,6980.25,0,0,2061
1770882840,6980.5,6981,6980.5,6980.75,0,0,2096
1770882900,6980.5,6981,6980.25,6980.75,0,0,2208
1770882960,6981,6982,6981,6982,0,0,2315
1770883020,6982,6982.25,6981.25,6982,0,0,2395
1770883080,6981.75,6982.25,6981.25,6981.5,0,0,2309
1770883140,6981.5,6982,6981.25,6981.75,0,0,2391
1770883200,6981.75,6984.75,6981.75,6983.25,0,0,3213
1770883260,6983,6983.75,6982,6983.5,0,0,3546
1770883320,6983.5,6983.75,6982,6982.5,0,0,3297
1770883380,6982.5,6983.5,6981.75,6983,0,0,3508
1770883440,6983.25,6983.5,6982.75,6983.25,0,0,3684
1770883500,6983,6983.25,6981.25,6981.5,0,0,3438
1770883560,6981.5,6981.75,6981,6981.25,0,0,3264
1770883620,6981.5,6984,6981,6984,0,0,3651
1770883680,6984,6985,6982.5,6984.5,0,0,4194
1770883740,6984.25,6984.75,6983,6983.5,0,0,4039
1770883800,6983.5,6984.5,6983,6983,0,0,3827
1770883860,6983,6983,6981,6982,0,0,3607
1770883920,6982.25,6982.25,6980.25,6980.25,0,0,3357
1770883980,6980.25,6980.25,6979,6979.75,0,0,3052
1770884040,6979.75,6981.25,6979.75,6981.25,0,0,3209
1770884100,6981,6983.25,6980.75,6982,0,0,3409
1770884160,6982,6982.25,6981,6981.75,0,0,3288
1770884220,6982.25,6982.5,6981.75,6981.75,0,0,3212
1770884280,6981.75,6982.25,6981.5,6981.75,0,0,3000
1770884340,6981.75,6982.75,6981.75,6982,0,0,3136
1770884400,6982,6982.5,6980,6980,0,0,2974
1770884460,6980.5,6980.75,6979.25,6979.75,0,0,2711
1770884520,6979.75,6980.5,6979.25,6980,0,0,2908
1770884580,6979.75,6980,6979.5,6980,0,0,3001
1770884640,6979.75,6980,6979.25,6979.25,0,0,2877
1770884700,6979.25,6979.5,6978.5,6979,0,0,2696
1770884760,6979,6981,6978.5,6980.5,0,0,2932
1770884820,6980.75,6981.25,6979,6979,0,0,2669
1770884880,6978.75,6979,6978,6978.5,0,0,2510
1770884940,6978.5,6979.5,6978.25,6979,0,0,2661
1770885000,6979,6980.25,6978.75,6979.5,0,0,2889
1770885060,6979.25,6979.25,6977.25,6977.25,0,0,2657
1770885120,6977.25,6977.25,6975.75,6976.5,0,0,2378
1770885180,6976.5,6977.5,6976,6976.5,0,0,2184
1770885240,6976.25,6976.75,6975.5,6976.25,0,0,2019
1770885300,6976.25,6977.5,6976.25,6977.25,0,0,2251
1770885360,6977.25,6977.5,6976,6976.5,0,0,2042
1770885420,6976.75,6977.25,6975.25,6975.75,0,0,1794
1770885480,6976,6976.75,6975.75,6976,0,0,1890
